"district","county","year","sex","grade_level","number_overweight","percent_overweight","number_obese","percent_obese","number_overweight_or_obese","percent_overweight_or_obese","number_healthy_weight","percent_healthy_weight","num_asian","num_black","num_hisp","num_am_ind","num_white","num_female","num_male","num_lep","num_multi","num_swd","num_ecdis","num_free_lunch","num_reduced_lunch"
10623,"ALBANY",2016,"MALE","MIDDLE/HIGH",74,16.8,81,18.4,155,35.1,272,0.617,920,278,290,13,3821,2771,2773,223,222,735,1201,815,165
10623,"ALBANY",2013,"MALE","MIDDLE/HIGH",74,16.8,81,18.4,155,35.1,272,0.617,705,281,214,7,3989,2580,2767,150,151,747,766,481,146
10623,"ALBANY",2017,"MALE","MIDDLE/HIGH",74,16.8,81,18.4,155,35.1,272,0.617,1009,319,301,14,3777,2866,2819,273,265,750,1349,1036,181
10802,"ALBANY",2017,"FEMALE","ELEMENTARY",58,13.2,50,11.4,108,24.7,330,0.753,676,185,186,4,3618,2383,2453,202,167,630,904,701,92
10802,"ALBANY",2012,"FEMALE","ELEMENTARY",58,13.2,50,11.4,108,24.7,330,0.753,465,159,130,4,4048,2479,2444,134,117,683,576,380,120
10802,"ALBANY",2014,"FEMALE","ELEMENTARY",58,13.2,50,11.4,108,24.7,330,0.753,562,186,166,3,3862,2417,2492,187,130,744,779,599,131
10802,"ALBANY",2013,"FEMALE","ELEMENTARY",58,13.2,50,11.4,108,24.7,330,0.753,514,169,150,3,3968,2450,2475,148,121,697,704,441,142
10802,"ALBANY",2015,"FEMALE","ELEMENTARY",58,13.2,50,11.4,108,24.7,330,0.753,600,176,167,3,3765,2420,2440,181,149,708,889,675,131
10802,"ALBANY",2016,"FEMALE","ELEMENTARY",58,13.2,50,11.4,108,24.7,330,0.753,672,178,178,4,3621,2363,2451,200,161,628,878,700,96
10802,"ALBANY",2017,"MALE","ELEMENTARY",75,15.5,68,14,143,29.5,333,0.687,676,185,186,4,3618,2383,2453,202,167,630,904,701,92
10802,"ALBANY",2012,"MALE","ELEMENTARY",75,15.5,68,14,143,29.5,333,0.687,465,159,130,4,4048,2479,2444,134,117,683,576,380,120
10802,"ALBANY",2014,"MALE","ELEMENTARY",75,15.5,68,14,143,29.5,333,0.687,562,186,166,3,3862,2417,2492,187,130,744,779,599,131
10802,"ALBANY",2013,"MALE","ELEMENTARY",75,15.5,68,14,143,29.5,333,0.687,514,169,150,3,3968,2450,2475,148,121,697,704,441,142
10802,"ALBANY",2015,"MALE","ELEMENTARY",75,15.5,68,14,143,29.5,333,0.687,600,176,167,3,3765,2420,2440,181,149,708,889,675,131
10802,"ALBANY",2016,"MALE","ELEMENTARY",75,15.5,68,14,143,29.5,333,0.687,672,178,178,4,3621,2363,2451,200,161,628,878,700,96
10802,"ALBANY",2017,"FEMALE","MIDDLE/HIGH",52,16.9,26,8.5,78,25.4,229,0.746,676,185,186,4,3618,2383,2453,202,167,630,904,701,92
10802,"ALBANY",2012,"FEMALE","MIDDLE/HIGH",52,16.9,26,8.5,78,25.4,229,0.746,465,159,130,4,4048,2479,2444,134,117,683,576,380,120
10802,"ALBANY",2014,"FEMALE","MIDDLE/HIGH",52,16.9,26,8.5,78,25.4,229,0.746,562,186,166,3,3862,2417,2492,187,130,744,779,599,131
10802,"ALBANY",2013,"FEMALE","MIDDLE/HIGH",52,16.9,26,8.5,78,25.4,229,0.746,514,169,150,3,3968,2450,2475,148,121,697,704,441,142
10802,"ALBANY",2015,"FEMALE","MIDDLE/HIGH",52,16.9,26,8.5,78,25.4,229,0.746,600,176,167,3,3765,2420,2440,181,149,708,889,675,131
10802,"ALBANY",2016,"FEMALE","MIDDLE/HIGH",52,16.9,26,8.5,78,25.4,229,0.746,672,178,178,4,3621,2363,2451,200,161,628,878,700,96
10802,"ALBANY",2017,"MALE","MIDDLE/HIGH",44,14.5,60,19.8,104,34.3,193,0.637,676,185,186,4,3618,2383,2453,202,167,630,904,701,92
10802,"ALBANY",2012,"MALE","MIDDLE/HIGH",44,14.5,60,19.8,104,34.3,193,0.637,465,159,130,4,4048,2479,2444,134,117,683,576,380,120
10802,"ALBANY",2014,"MALE","MIDDLE/HIGH",44,14.5,60,19.8,104,34.3,193,0.637,562,186,166,3,3862,2417,2492,187,130,744,779,599,131
10802,"ALBANY",2013,"MALE","MIDDLE/HIGH",44,14.5,60,19.8,104,34.3,193,0.637,514,169,150,3,3968,2450,2475,148,121,697,704,441,142
10802,"ALBANY",2015,"MALE","MIDDLE/HIGH",44,14.5,60,19.8,104,34.3,193,0.637,600,176,167,3,3765,2420,2440,181,149,708,889,675,131
10802,"ALBANY",2016,"MALE","MIDDLE/HIGH",44,14.5,60,19.8,104,34.3,193,0.637,672,178,178,4,3621,2363,2451,200,161,628,878,700,96
20101,"ALLEGANY",2012,"FEMALE","ELEMENTARY",6,10.3,5,8.6,11,19,42,0.724,26,2,5,0,614,315,337,0,5,82,234,162,59
20101,"ALLEGANY",2013,"FEMALE","ELEMENTARY",6,10.3,5,8.6,11,19,42,0.724,31,6,8,0,618,319,354,0,10,88,253,187,54
20101,"ALLEGANY",2016,"FEMALE","ELEMENTARY",6,10.3,5,8.6,11,19,42,0.724,24,0,7,0,569,295,317,0,12,80,263,229,23
20101,"ALLEGANY",2014,"FEMALE","ELEMENTARY",6,10.3,5,8.6,11,19,42,0.724,29,1,11,0,595,320,327,0,11,88,271,198,57
20101,"ALLEGANY",2015,"FEMALE","ELEMENTARY",6,10.3,5,8.6,11,19,42,0.724,24,0,7,0,585,304,325,0,13,88,270,234,24
20101,"ALLEGANY",2012,"MALE","ELEMENTARY",7,13.2,5,9.4,12,22.6,36,0.679,26,2,5,0,614,315,337,0,5,82,234,162,59
20101,"ALLEGANY",2013,"MALE","ELEMENTARY",7,13.2,5,9.4,12,22.6,36,0.679,31,6,8,0,618,319,354,0,10,88,253,187,54
20101,"ALLEGANY",2016,"MALE","ELEMENTARY",7,13.2,5,9.4,12,22.6,36,0.679,24,0,7,0,569,295,317,0,12,80,263,229,23
20101,"ALLEGANY",2014,"MALE","ELEMENTARY",7,13.2,5,9.4,12,22.6,36,0.679,29,1,11,0,595,320,327,0,11,88,271,198,57
20101,"ALLEGANY",2015,"MALE","ELEMENTARY",7,13.2,5,9.4,12,22.6,36,0.679,24,0,7,0,585,304,325,0,13,88,270,234,24
