"district","county","number_overweight","percent_overweight","number_obese","percent_obese","number_overweight_or_obese","percent_overweight_or_obese","grade_level","number_healthy_weight","percent_healthy_weight","sex","year","num_asian","num_black","num_hisp","num_am_ind","num_white","num_female","num_male","num_lep","num_multi","num_swd","num_ecdis"
60800,"CHAUTAUQUA",29,22.5,36,27.9,65,50.4,"MIDDLE/HIGH",64,0.496,"MALE",2019,10,91,1192,6,781,1068,1093,341,81,265,1397
61501,"CHAUTAUQUA",20,16.7,30,25,50,41.7,"ELEMENTARY",70,0.583,"FEMALE",2019,5,6,100,128,761,553,518,10,71,202,639
61501,"CHAUTAUQUA",13,12.7,33,32.4,46,45.1,"ELEMENTARY",56,0.549,"MALE",2019,5,6,100,128,761,553,518,10,71,202,639
61501,"CHAUTAUQUA",18,18.4,22,22.4,40,40.8,"MIDDLE/HIGH",58,0.592,"FEMALE",2019,5,6,100,128,761,553,518,10,71,202,639
61501,"CHAUTAUQUA",13,16.9,20,26,33,42.9,"MIDDLE/HIGH",44,0.571,"MALE",2019,5,6,100,128,761,553,518,10,71,202,639
62301,"CHAUTAUQUA",18,26.9,17,25.4,35,52.2,"ELEMENTARY",32,0.478,"FEMALE",2019,1,3,73,3,441,298,240,16,17,87,260
62301,"CHAUTAUQUA",14,20.6,13,19.1,27,39.7,"ELEMENTARY",41,0.603,"MALE",2019,1,3,73,3,441,298,240,16,17,87,260
62301,"CHAUTAUQUA",6,19.4,10,32.3,16,51.6,"MIDDLE/HIGH",15,0.484,"MALE",2019,1,3,73,3,441,298,240,16,17,87,260
62601,"CHAUTAUQUA",5,12.8,5,12.8,10,25.6,"ELEMENTARY",29,0.744,"FEMALE",2019,1,3,9,3,414,198,236,5,4,74,254
62601,"CHAUTAUQUA",7,15.2,7,15.2,14,30.4,"ELEMENTARY",32,0.696,"MALE",2019,1,3,9,3,414,198,236,5,4,74,254
62601,"CHAUTAUQUA",7,24.1,5,17.2,12,41.4,"MIDDLE/HIGH",17,0.586,"FEMALE",2019,1,3,9,3,414,198,236,5,4,74,254
62901,"CHAUTAUQUA",7,15.6,10,22.2,17,37.8,"MIDDLE/HIGH",28,0.622,"FEMALE",2019,5,11,43,4,609,341,333,5,2,135,396
62901,"CHAUTAUQUA",14,16.3,20,23.3,34,39.5,"ELEMENTARY",46,0.535,"FEMALE",2019,5,11,43,4,609,341,333,5,2,135,396
62901,"CHAUTAUQUA",16,16.8,20,21.1,36,37.9,"ELEMENTARY",59,0.621,"MALE",2019,5,11,43,4,609,341,333,5,2,135,396
62901,"CHAUTAUQUA",6,15,8,20,14,35,"MIDDLE/HIGH",26,0.65,"MALE",2019,5,11,43,4,609,341,333,5,2,135,396
70600,"CHEMUNG",140,21.9,154,24.1,294,45.9,"ELEMENTARY",333,0.52,"FEMALE",2019,22,777,203,7,4207,2859,3025,17,668,813,3374
70600,"CHEMUNG",143,20.6,141,20.3,284,41,"ELEMENTARY",389,0.561,"MALE",2019,22,777,203,7,4207,2859,3025,17,668,813,3374
70600,"CHEMUNG",98,22.7,99,23,197,45.7,"MIDDLE/HIGH",234,0.543,"FEMALE",2019,22,777,203,7,4207,2859,3025,17,668,813,3374
70600,"CHEMUNG",91,20.4,97,21.7,188,42.2,"MIDDLE/HIGH",251,0.563,"MALE",2019,22,777,203,7,4207,2859,3025,17,668,813,3374
80601,"CHENANGO",20,19,15,14.3,35,33.3,"ELEMENTARY",70,0.667,"FEMALE",2019,8,10,24,7,904,461,493,3,1,111,503
80601,"CHENANGO",11,11.2,21,21.4,32,32.7,"ELEMENTARY",66,0.673,"MALE",2019,8,10,24,7,904,461,493,3,1,111,503
80601,"CHENANGO",12,16.4,13,17.8,25,34.2,"MIDDLE/HIGH",48,0.658,"FEMALE",2019,8,10,24,7,904,461,493,3,1,111,503
80601,"CHENANGO",13,22,9,15.3,22,37.3,"MIDDLE/HIGH",37,0.627,"MALE",2019,8,10,24,7,904,461,493,3,1,111,503
81003,"CHENANGO",8,14.8,16,29.6,24,44.4,"MIDDLE/HIGH",30,0.556,"MALE",2019,3,6,9,7,760,408,387,0,10,155,425
81003,"CHENANGO",11,21.6,12,23.5,23,45.1,"MIDDLE/HIGH",28,0.549,"FEMALE",2019,3,6,9,7,760,408,387,0,10,155,425
81003,"CHENANGO",17,16.3,25,24,42,40.4,"ELEMENTARY",62,0.596,"FEMALE",2019,3,6,9,7,760,408,387,0,10,155,425
81003,"CHENANGO",10,12.7,13,16.5,23,29.1,"ELEMENTARY",56,0.709,"MALE",2019,3,6,9,7,760,408,387,0,10,155,425
81200,"CHENANGO",32,16,43,21.5,75,37.5,"ELEMENTARY",125,0.625,"FEMALE",2019,24,47,53,3,1605,869,895,12,32,265,1021
81200,"CHENANGO",34,17.1,40,20.1,74,37.2,"ELEMENTARY",119,0.598,"MALE",2019,24,47,53,3,1605,869,895,12,32,265,1021
81200,"CHENANGO",31,23.1,32,23.9,63,47,"MIDDLE/HIGH",71,0.53,"FEMALE",2019,24,47,53,3,1605,869,895,12,32,265,1021
81200,"CHENANGO",22,17.2,38,29.7,60,46.9,"MIDDLE/HIGH",68,0.531,"MALE",2019,24,47,53,3,1605,869,895,12,32,265,1021
90201,"CLINTON",23,17.6,23,17.6,46,35.1,"ELEMENTARY",85,0.649,"FEMALE",2019,1,30,4,1,1125,582,585,0,6,158,670
90201,"CLINTON",20,15.5,31,24,51,39.5,"ELEMENTARY",78,0.605,"MALE",2019,1,30,4,1,1125,582,585,0,6,158,670
90201,"CLINTON",13,18.3,22,31,35,49.3,"MIDDLE/HIGH",36,0.507,"FEMALE",2019,1,30,4,1,1125,582,585,0,6,158,670
90201,"CLINTON",9,11.5,22,28.2,31,39.7,"MIDDLE/HIGH",47,0.603,"MALE",2019,1,30,4,1,1125,582,585,0,6,158,670
90301,"CLINTON",37,15,53,21.5,90,36.6,"ELEMENTARY",156,0.634,"MALE",2019,15,29,52,8,1918,968,1055,7,1,368,870
90301,"CLINTON",36,16.2,38,17.1,74,33.3,"ELEMENTARY",148,0.667,"FEMALE",2019,15,29,52,8,1918,968,1055,7,1,368,870
90301,"CLINTON",24,18.8,36,28.1,60,46.9,"MIDDLE/HIGH",68,0.531,"FEMALE",2019,15,29,52,8,1918,968,1055,7,1,368,870
90301,"CLINTON",19,15.6,38,31.1,57,46.7,"MIDDLE/HIGH",65,0.533,"MALE",2019,15,29,52,8,1918,968,1055,7,1,368,870
91101,"CLINTON",36,16.4,54,24.7,90,41.1,"ELEMENTARY",122,0.557,"FEMALE",2019,21,20,18,7,1748,895,962,8,43,361,871
91101,"CLINTON",27,13.2,28,13.7,55,27,"ELEMENTARY",140,0.686,"MALE",2019,21,20,18,7,1748,895,962,8,43,361,871
91101,"CLINTON",34,23.4,41,28.3,75,51.7,"MIDDLE/HIGH",70,0.483,"FEMALE",2019,21,20,18,7,1748,895,962,8,43,361,871
91101,"CLINTON",17,11.3,34,22.5,51,33.8,"MIDDLE/HIGH",94,0.623,"MALE",2019,21,20,18,7,1748,895,962,8,43,361,871
100501,"COLUMBIA",20,23.3,17,19.8,37,43,"MIDDLE/HIGH",43,0.5,"FEMALE",2019,5,25,136,2,1004,612,633,33,73,147,438
100501,"COLUMBIA",20,17.1,20,17.1,40,34.2,"ELEMENTARY",77,0.658,"FEMALE",2019,5,25,136,2,1004,612,633,33,73,147,438
100501,"COLUMBIA",19,13.7,33,23.7,52,37.4,"ELEMENTARY",87,0.626,"MALE",2019,5,25,136,2,1004,612,633,33,73,147,438
100501,"COLUMBIA",17,21.3,21,26.3,38,47.5,"MIDDLE/HIGH",37,0.463,"MALE",2019,5,25,136,2,1004,612,633,33,73,147,438
101300,"COLUMBIA",40,17.7,48,21.2,88,38.9,"ELEMENTARY",129,0.571,"FEMALE",2019,224,329,271,2,663,831,832,139,174,266,1167
101300,"COLUMBIA",31,13.5,44,19.1,75,32.6,"ELEMENTARY",143,0.622,"MALE",2019,224,329,271,2,663,831,832,139,174,266,1167
101300,"COLUMBIA",16,13.4,17,14.3,33,27.7,"MIDDLE/HIGH",86,0.723,"FEMALE",2019,224,329,271,2,663,831,832,139,174,266,1167
101300,"COLUMBIA",10,12.7,14,17.7,24,30.4,"MIDDLE/HIGH",55,0.696,"MALE",2019,224,329,271,2,663,831,832,139,174,266,1167
131601,"DUTCHESS",86,13.5,90,14.1,176,27.6,"ELEMENTARY",447,0.702,"MALE",2019,282,587,1474,4,5269,3995,3968,196,347,1222,2255
131601,"DUTCHESS",91,15.1,76,12.6,167,27.7,"ELEMENTARY",421,0.698,"FEMALE",2019,282,587,1474,4,5269,3995,3968,196,347,1222,2255
131601,"DUTCHESS",98,17.1,79,13.8,177,30.8,"MIDDLE/HIGH",384,0.669,"FEMALE",2019,282,587,1474,4,5269,3995,3968,196,347,1222,2255
131601,"DUTCHESS",92,16.7,110,20,202,36.7,"MIDDLE/HIGH",328,0.596,"MALE",2019,282,587,1474,4,5269,3995,3968,196,347,1222,2255
131602,"DUTCHESS",19,15.3,16,12.9,35,28.2,"ELEMENTARY",89,0.718,"FEMALE",2019,176,167,200,1,841,697,751,23,63,183,340
131602,"DUTCHESS",27,17.3,22,14.1,49,31.4,"ELEMENTARY",102,0.654,"MALE",2019,176,167,200,1,841,697,751,23,63,183,340
